%ename 
%prompt ?
%selkey 1234567890
%dupsel 10
%keyname begin
flf 雷
flfa 卖国求荣
flfb 无边无际
flfg 雷雨
flfm 雷击
flfn 雷声
flgw 顽固不化
flif 土办法
flir 顽固派
fljg 运输量
fljn 雷电
fllt 协力
fllw 协办
flmg 雷同
flmg 协同
flnn 二轻局
flnt 增加收入
flog 运输业
flpg 协定
flpt 无固定收入
flqt 雷锋
flss 动力机械
fltk 协和
fltp 雷管
fltx 动力系统
flud 替罪羊
flul 南辕北辙
flum 协商
flut 增加产品品种
flw 协
flwf 协会
flwt 协作
flww 协从
flwy 协
flxq 协约
fly 塄
flym 协调
flyn 塄
flyy 协议
fm 南
fmai 击落
fmaw 献花
fmbj 南阳
fmbm 献出
fmce 南通
fmdh 击破
fmdi 无风三尺浪
fmdj 南非
fmdm 南面
fmdn 求同存异
fmew 超凡脱俗
fmfj 坍塌
fmfn 老同志
fmg 垌
fmga 南开
fmgf 击球
fmgh 南下
fmgi 无风不起浪
fmgk 垌
fmgo 南亚
fmgq 土崩瓦解
fmgu 南平
fmhy 远见卓识
fmii 南沙
fmik 击溃
fmip 击沉
fmit 南海
fmiu 南洋
fmjj 南昌
fmk 击
fmkh 击中
fmlg 南国
fmlp 南边
fmmm 井冈山
fmmq 南风
fmmt 击败
fmn 垲
fmnf 献丑
fmnn 垲
fmpg 献宝
fmps 南宁
fmpy 献礼
fmqh 境内外
fmrf 献技
fmrg 十几年来
fms 垛
fmse 南极
fmsy 垛
fmtg 献策
fmtl 献血
fmtm 献身
fmu 南
fmud 献
fmuf 南
fmuk 南部
fmuq 南郊
fmuw 志同道合
fmux 南北
fmva 击毁
fmve 击退
fmwg 击剑
fmwh 协同作战
fmwj 未见分晓
fmwt 击伤
fmwx 南货
fmxf 南疆
fmxw 献给
fmxx 击毙
fmy 坝
fmyc 南充
fmyf 献计
fmyg 坍
fmyi 南京
fmyn 献词
fmys 封山育林
fmyy 南方
fn 志
fnad 专项
fnae 才尽其用
fnaf 专著
fnap 专营
fnaq 专区
fnbk 专职
fnbm 堀
fnbw 教导队
fncu 喜忧参半
fndm 场面
fndr 志愿
fnet 专用
fnfb 场地
fnfd 霹雳
fnff 专款
fnfg 志士
fnfh 志趣
fnfj 专刊
fnfn 专卖
fnfv 越快越好
fnfw 违规
fnga 卖弄
fngf 无愧于
fngg 专一
fngh 专政
fngk 韧带
fngm 专责
fngp 未尽事宜
fnh 韦
fnhc 霞
fnhk 韦
fnhl 韫
fnhp 违
fnhv 韬
fnhy 韧
fni 墀
fnie 卖淫
fnif 违法
fnih 墀
fniq 霞光
fniw 声誉
fniy 专注
fnje 声明
fnjg 专题
fnjn 专电
fnjy 场景
fnk 霹
fnkm 教导员
fnkq 震惊中外
fnkt 声响
fnku 霹
fnlf 专署
fnlg 专车
fnlk 专辑
fnlt 韬略
fnm 馨
fnmd 磬
fnmj 馨
fnmm 罄
fnmw 场内
fnmy 謦
fnn 圮
fnn 圯
fnnt 韧性
fnnw 无发展前途
fnny 违心
fnog 专业
fnpe 专家
fnpg 起居室
fnpu 真心实意
fnpv 专案
fnpw 亏空
fnqh 场外
fnqk 声名
fnqn 场馆
fnqt 违犯
fnr 声
fnrc 违反
fnre 声援
fnrh 卖掉
fnrk 亏损
fnrm 专制
fnrn 场所
fnrt 场
fnrv 声势
fnry 违抗
fnsa 专柜
fnsf 无懈可击
fnsg 亏本
fnsm 专机
fnss 违禁
fnsu 专栏
fnta 专长
fntf 亏待
fnth 声息
fntj 专利
fntk 专程
fntl 无以复加
fntm 志向
fntp 专管
fntq 声称
fntu 专科
fnu 志
fnud 卖
fnuh 场站
fnuj 声音
fnuq 场次
fnuq 觌
fnuw 直属单位
fnux 违背
fnuy 专门
fnv 亏
fnw 块
fnwa 专供
fnwg 场合
fnwh 专修
fnws 超导体
fnww 卖价
fnwy 专集
fnx 坭
fnxg 专线
fnxn 违纪
fnxn 坭
fnxq 违约
fnxt 声张
fnxw 卖给
fny 专
fnyf 声讨
fnyg 卖主
fnyi 专
fnym 声调
fnyn 声望
fnyt 真心话
fnyu 真心诚意
fnyw 卖座
fnyy 卖方
fnyy 专访
fo 赤
fob 郝
fobb 赤子
fobc 赧
fobh 郝
fobo 去粗取精
fobr 趋炎附势
fock 专业对口
fof 赫
fofj 赭
fofo 赫
fomt 赤峰
fony 赤心
fopb 赤字
fopo 无米之炊
foqd 赫然
foqk 赦免
foqt 专业银行
forf 趁火打劫
fork 专业技术人员
forr 赫哲
fors 专业技术
fot 赦
fotj 螫
foty 专业知识
fou 赤
fout 赤道
foux 赫兹
fowa 专业分工
fowf 专业人才
fowk 无业人员
fowx 专业化
foyd 赤诚
foyn 专业户
fp 过
fpab 过节
fpad 过期
fpb 勃
fpbc 索取
fpbf 孛
fpbg 鹁
fpbl 勃
fpbw 考察队
fpdd 无穷大
fpdg 真实感
fpf 垸
fpfc 过去
fpfn 无穷无尽
fpfp 勃勃
fpfq 垸
fpfu 过境
fpfw 规定动作
fpg 壹
fpgc 彀
fpgc 觳
fpgf 过于
fpgl 无官一身轻
fpgn 懿
fpgo 过来
fpgt 求之不得
fpgu 壹
fpha 过虑
fphh 过目
fpi 过
fpif 专家学者
fpih 过滤
fpit 过少
fpiy 过渡
fpjf 过时
fpjg 过量
fpjh 过早
fpkg 老字号
fpkh 过路
fpkk 十字路口
fpl 毂
fplc 毂
fplf 考察团
fplr 填补国内空白
fpm 壳
fpmb 壳
fpmd 索贿
fpmh 露宿风餐
fpmn 悫
fpmu 索赔
fpnn 动之以情
fpnt 真实性
fpo 壶
fpog 壶
fpoo 过火
fppd 超额完成
fppr 填补空白
fppu 赤裸裸
fpqa 过错
fpqd 索然
fpqp 幸灾乐祸
fpqq 过多
fpqv 过急
fprg 过后
fprh 过年
fprv 过热
fprw 过失
fpsj 无家可归
fpsv 索要
fpta 过长
fptg 过重
fpti 超额利润
fptk 过程
fptr 吉祥物
fptu 过剩
fptx 过敏
fpty 过往
fpub 过瘾
fpud 过关
fpuf 过半
fpuk 过问
fpuq 过奖
fpvu 吉祥如意
fpwg 埃塞俄比亚
fpwq 过低
fpws 超额分配
fpwv 过分
fpww 索价
fpx 索
fpxe 专家组
fpxh 索引
fpxi 索
fpxl 过细
fpxn 坨
fpya 过度
fpym 南宁市
fpyu 老实说
fpyw 过夜
fq 无
fqa 坻
fqad 远期
fqai 远东
fqal 超负荷运转
fqaw 超负荷
fqay 坻
fqb 元
fqbe 无阻
fqbg 远隔
fqbh 无耻
fqbq 无聊
fqbv 无限
fqcc 无双
fqce 无能
fqd 顽
fqdd 远大
fqde 均有
fqdf 无奈
fqdg 远古
fqdh 远在
fqdj 无非
fqdm 顽
fqdr 声名大振
fqdt 无故
fqdu 无辜
fqdv 勃然大怒
fqdw 无独有偶
fqed 无须
fqee 元月
fqet 无用
fqey 无及
fqfd 无需
fqfi 均未
fqfk 索然无味
fqfn 无声
fqfq 远远
fqfr 博尔塔拉
fqfs 坎坷
fqft 元老
fqfv 无垠
fqga 无形
fqgi 无不
fqgj 无理
fqgk 无赖
fqgm 截然不同
fqgx 元素
fqha 远虑
fqhh 无上
fqhi 远眺
fqif 无法
fqip 无常
fqiu 远洋
fqiy 远游
fqjg 元旦
fqjm 元帅
fqjn 无暇
fqjy 远景
fqk 堍
fqkn 鼋
fqky 堍
fqld 顽固
fqlg 无畏
fqlp 无边
fqlt 无力
fqmh 均由
fqmq 远见
fqn 雹
fqna 无异
fqnb 雹
fqnd 均居
fqng 坞
fqnn 均已
fqnr 无愧
fqny 无心
fqog 无业
fqol 无烟
fqop 雷锋精神
fqov 无数
fqp 远
fqpd 无害
fqpi 元宵
fqpo 雹灾
fqpv 真名实姓
fqpw 无穷
fqpy 远视
fqqa 声名狼藉
fqqi 远销
fqqj 无锡
fqqk 无名
fqqu 均匀
fqre 无援
fqrk 无损
fqrn 元气
fqrp 远近
fqrv 均势
fqry 顽抗
fqsc 无权
fqsk 均可
fqsm 无机
fqsy 无核
fqta 坦然自若
fqtc 无私
fqtd 无知
fqte 远航
fqtf 均等
fqtg 远征
fqth 远处
fqtk 远程
fqtq 均衡
fqtr 无物
fqu 均
fqud 无关
fqug 顽症
fquj 无意
fqum 无端
fquq 无效
fqut 元首
fquw 无益
fqv 无
fqvy 无妨
fqw 坎
fqwd 声色俱厉
fqwi 无偿
fqwk 城镇人口
fqwr 元件
fqws 无何
fqwt 无余
fqwv 均分
fqww 无人
fqwy 坎
fqxg 无线
fqxk 顽强
fqxt 无疑
fqxx 无比
fqya 无度
fqyb 远离
fqyg 无证
fqyi 均应
fqyk 无误
fqyl 无为
fqyn 无望
fqyw 无论
fqyy 远方
fr 垢
fraf 朝气蓬勃
frar 地质勘探
frc 坂
frcg 直接参与
frcy 直接对话
frdl 直接原因
frdm 亏损面
frdn 无所顾忌
frdt 雨后春笋
fren 无所用心
frfa 十年规划
frfe 动手动脚
frfg 无拘无束
frfk 走投无路
frfp 违反规定
frft 十年动乱
frg 垢
frgd 无所不在
frgf 雷打不动
frgh 支持下
frgk 垢
frgq 无所不包
frgy 无所不为
frh 圻
frid 声势浩大
frii 喜气洋洋
frip 地质学
frjk 直接影响
frln 无所畏惧
frmt 十年内乱
frnn 地质局
frpf 真抓实干
frpt 亏损额
frpu 赤手空拳
frqj 直接贸易
frrk 无所措手足
frrq 趁热打铁
frru 直接投资
frss 十年树木
frt 埤
frtf 埤
frti 直接选举
frtw 无所适从
frui 地热资源
frux 支援前线
fruy 走后门
frvj 十年如一日
frwd 二氧化碳
frwn 震撼人心
frwp 坦白从宽
frww 老年人
frwy 无所作为
frxe 直接费用
fry 坼
fryl 无所谓
fryt 无的放矢
fryx 亏损率
fryy 坼
fs 霜
fsat 土木工程
fsdl 丧权辱国
fsdr 真相大白
fsdt 无可奉告
fsdw 无可奈何
fsdx 考核成绩
fsdy 无可非议
fsf 堙
fsfg 堙
fsfr 载歌载舞
fsfu 无权过问
fsh 霜
fshf 霜
fsit 吉林省
fsiy 南极洲
fsjg 需要量
fsk 坷
fskg 坷
fskk 违禁品
fsky 专横跋扈
fslx 无可置疑
fsps 无本之木
fsqu 无可争辩
fsrf 老根据地
fsrl 无可挽回
fsry 考核制度
fss 霖
fssa 老框框
fssu 霖
fstk 违禁物品
fstp 二极管
fstr 动植物
fsuc 无可辩驳
fsum 走极端
fsuw 超标准
fswr 零配件
fsxa 规模经营
fsxr 无可比拟
fsyy 霸权主义
ft 才
ftaa 老式
ftak 考勤
ftal 二等功
ftaq 孝敬
ftb 孝
ftbb 老子
ftbc 考取
ftbf 孝
ftbp 博物院
ftbt 教
ftce 才能
ftcw 考验
ftdc 老友
ftdd 老大
ftde 才有
ftdf 无私奉献
ftdg 考古
ftdn 老成
ftdp 进行研究
fte 才
ftee 十冬腊月
ftf 霆
ftfc 过得去
ftfd 老城
ftfg 才干
ftfl 无私无畏
ftfn 考场
ftfp 霆
ftfq 老远
ftft 土生土长
ftfy 进行教育
ftg 考
ftge 无往不胜
ftgg 无微不至
ftgj 去向不明
ftgn 考
ftgo 都来
ftgx 堪称一绝
ftgy 增长速度
fth 埏
ftha 考虑
ftha 老虎
fthh 考上
fthp 埏
fthw 教具
ftic 老汉
ftif 专利法
ftih 老婆
ftip 教学
ftis 专科学校
ftit 老少
ftiy 老生常谈
ftj 者
ftjb 都
ftjf 者
ftjg 教师
ftjm 老帅
ftjn 翥
ftjo 煮
ftjy 专利申请
ftkc 教唆
ftkd 孝顺
ftkm 教员
ftl 雾
ftlb 雾
ftlf 动物园
ftlw 献身四化
ftm 垧
ftma 进行曲
ftmk 垧
ftmm 运筹帷幄
ftmy 增长幅度
ftn 圪
ftna 进行改革
ftnf 教导
ftnn 圪
ftnt 规律性
ftny 孝心
ftom 真知灼见
ftop 献身精神
ftou 霉烂
ftov 未知数
ftpe 老农
ftpg 教室
ftpl 远程军
ftps 专利审查
ftpu 老实
ftpv 走私案
ftpw 考察
ftpy 无稽之谈
ftqh 老外
ftqn 博物馆
ftqt 走私犯
ftre 教授
ftrf 老挝
ftrg 老兵
ftrh 老年
ftrn 才气
ftrt 老手
ftry 进行批评
ftsc 专利权
ftsf 教材
ftsg 老本
ftsj 考查
ftsl 无利可图
ftsm 起重机
ftsr 老板
ftss 进行检查
ftsv 都要
ftsy 考核
fttd 才智
fttf 教徒
fttg 考生
ftth 教务处
fttk 教程
fttl 教务
ftts 教条
fttu 均衡生产
fttv 教委
ftty 考入
ftud 考卷
ftug 喜笑颜开
ftuk 老总
ftun 喜迁新居
ftuq 二等奖
ftut 土特产
ftuw 教益
ftvb 都好
ftvi 超乎寻常
ftvm 堆积如山
ftvn 老鼠
ftwf 教会
ftwq 老爷
ftwr 无条件
ftws 专利侵权
ftwt 越冬作物
ftwu 老伴
ftww 老人
ftwx 才华
ftx 老
ftxa 教练
ftxb 老
ftxf 耋
ftxg 考绩
ftxj 耆
ftxn 耄
ftxt 老乡
ftxu 霉
ftya 考试
ftyb 教科文卫
ftyc 教育
ftyg 考评
ftyk 教训
ftym 都市
ftyn 专利证书
ftyt 教诲
ftyu 进行谈判
ftyx 增长率
ftyy 教科文
fu 增
fuaf 埋头苦干
fuaq 远郊区
fuaw 埋头工作
fubp 无产阶级革命家
fubv 干部子女
fubw 干部队伍
fubx 无产阶级
fudd 增大
fudh 幸存
fudj 老前辈
fudm 幸而
fudn 无关大局
fue 丧
fuej 丧胆
fueu 丧
fuf 幸
fufb 境地
fufc 幸运
fufe 垃圾
fufj 增进
fufn 幸亏
fufr 十六进制
fuft 无产者
fufw 增产增值
fufy 培养教育
fug 垃
fugc 增至
fugf 过意不去
fugg 协商一致
fugk 丧事
fugn 二次开发
fugq 增殖
fugr 干部素质
fugt 干部政策
fugu 干部带头
fuhf 干部战士
fuhs 培养目标
fuig 增添
fuiq 增光
fuir 增派
fuix 超前消费
fuiy 南美洲
fuj 境
fujg 增量
fujm 境遇
fujq 境
fujs 无关紧要
fuk 培
fukg 培
fukh 无意中
fukm 裁判员
ful 增
fulg 吉普车
fulj 增
fulk 增加
fulk 啬
fult 示意图
fulw 境界
fum 墒
fumk 墒
fumm 增删
fumw 境内
funh 增收
funn 超前发展
funy 支部书记
fuov 过半数
fupe 起决定作用
fupk 无意之中
fupu 增补
fupy 幸福
fuqc 增色
fuqh 境外
fuqk 幸免
fuqm 喜闻乐见
fuqq 增多
fure 增援
furg 增兵
furn 丧气
furw 丧失
fury 规章制度
fusf 培植
fuss 专门机构
futa 增长
futf 增选
futm 丧身
fuud 培养
fuuk 境况
fuuq 增效
fuut 增产
fuuw 增益
fuuy 超前意识
fuv 霎
fuvb 幸好
fuvf 霎
fuvt 违章建筑
fuwf 增值
fuwg 丧命
fuwm 干部作风
fuwr 零部件
fuwx 专门化
fuwy 协商会议
fuxk 增强
fuyc 培育
fuye 超前享受
fuyk 培训
fuym 增高
fuys 增订
fuyy 南北方
fv 雪
fvaw 雪花
fvdr 雪原
fve 垠
fveg 南召县
fvey 垠
fvf 雪
fvgc 进退两难
fvi 埭
fviy 埭
fvls 封建思想
fvme 雪崩
fvmm 雪山
fvnn 城建局
fvof 封建迷信活动
fvow 封建迷信
fvp 埽
fvph 埽
fvpw 封建社会
fvq 霓
fvqb 霓
fvrr 雪白
fvry 封建制度
fvut 干群关系
fvww 老好人
fvxi 封建统治
fvxw 进退维谷
fvyp 雪亮
fvyq 喜怒哀乐
fvyy 封建主义
fw 夫
fwae 零散
fwai 规范
fwaj 规划
fwaq 协作区
fwbb 坏分子
fwbf 零陵
fwbw 才华出众
fwca 十分艰巨
fwcl 规劝
fwdf 去伪存真
fwdy 零碎
fwf 替
fwfb 霍地
fwfg 坏人坏事
fwfj 替
fwfl 辇
fwfp 逵
fwfu 十全十美
fwgh 零下
fwgt 求全责备
fwgv 夫妻
fwgy 替班
fwhh 无休止
fwhk 零点
fwi 夫
fwig 十分激烈
fwiu 十分满意
fwjd 颠倒是非
fwjf 零时
fwjt 零星
fwlc 十分困难
fwlr 颠倒黑白
fwlw 救命恩人
fwm 规
fwmj 规则
fwmq 规
fwn 埠
fwnd 堠
fwnf 埠
fwng 十分迅速
fwns 十分必要
fwnx 动人心弦
fwpe 老人家
fwpg 规定
fwpk 十分宝贵
fwpp 十分之
fwpr 真凭实据
fwpt 零售额
fwqn 朝令夕改
fwre 无偿援助
fwrq 替换
fwsa 规模
fwsg 堆栈
fwsi 才华横溢
fwst 规格
fwsw 十分相似
fwtc 干什么
fwtd 规矩
fwtk 堆积
fwtk 规程
fwtm 替身
fwtp 十分重视
fwts 十分重要
fwtv 规律
fwtw 零售物价
fwud 零头
fwui 无人问津
fwuj 规章
fwun 十分关心
fwup 零售总额
fwuw 协作单位
fwvt 十拿九稳
fwvv 夫妇
fww 赍
fwwa 替代
fwwm 赍
fwwo 麴
fwwr 零件
fwws 零售价格
fwww 零售价
fwwy 零售
fwy 堆
fwya 零度
fwyc 零
fwyf 霍
fwyg 堆
fwyi 十分高兴
fwyn 埝
fwyt 堆放
fxdl 超级大国
fxfd 无缘无故
fxg 坶
fxgu 坶
fxil 增强活力
fxin 增强党性
fxjn 无线电
fxjy 无绳电话
fxkm 教练员
fxl 坳
fxln 坳
fxlx 增强团结
fxnn 城乡居民
fxpl 老红军
fxpu 城乡之间
fxrr 顽强拼搏
fxtv 无纪律
fxty 违纪行为
fxug 老弱病残
fxuk 城乡差别
fxvy 城乡建设
fxwn 城乡人民
fxwo 二级企业
fxxi 城乡经济
fxyf 超级市场
fy 坟
fyaf 教育工作者
fyaj 坟墓
fyao 城市工业
fyaw 教育工作
fyb 墩
fybh 垴
fybt 墩
fydd 支离破碎
fydf 超高压
fyds 教育厅
fyfa 城市规划
fyfs 培训教材
fyft 献计献策
fyge 进度表
fygo 教育事业
fygy 直言不讳
fyii 城市污染
fyim 无底洞
fyip 教育学
fyit 地方党委
fyiy 二话没说
fyj 霁
fyjj 霁
fyjl 土库曼
fyjn 霭
fyk 壤
fyke 壤
fykh 走弯路
fykk 坑口
fykn 培训中心
fyla 地方国营
fylw 教育界
fym 坑
fymg 地方财政
fymn 坑
fyn 坊
fyna 教育改革
fynn 协议书
fynt 地方性
fynw 垓
fyp 壕
fypd 坑害
fype 壕
fypj 井底之蛙
fyqs 无记名投票
fyrj 教育质量
fyry 教育制度
fyss 坑木
fyst 坦诚相待
fysy 无计可施
fyt 圹
fyti 教育科学
fytq 地方特色
fytw 协调委员会
fytx 老调重弹
fyu 雯
fyug 地方病
fyuj 教育问题
fyuk 教育部
fyut 坑道
fyuu 教育部门
fyv 塘
fyvh 墉
fyvk 塘
fyvw 无论如何
fyvy 城市建设
fywf 协调会
fywk 城市人口
fywr 教育体制
fywx 城市化
fyxi 地方经济
fyxw 城市绿化
fyxx 教育经费
fyy 坟
fyym 南京市
fyyq 教育方针
g 一
ga 开
gaaa 形式
gaad 刑期
gaaj 开幕
gaal 武功
gaaq 武警
gaar 不甘落后
gaaw 开花
gaay 开荒
gab 邢
gabh 邢
gabw 开除
gabx 与世隔绝
gace 开通
gack 邢台
gad 琪
gada 不劳而获
gadb 亚欧大陆
gadg 武威
gadj 不期而遇
gadm 五项原则
gadn 形成
gadr 弄巧成拙
gadu 正式成立
gadw 琪
gady 形态
gae 形
gaes 开采
gaet 形
gaeu 开脱
gafc 开动
gaff 开封
gafh 开赴
gafn 刑场
gafq 与世无争
gafu 政工干部
gafx 不甘示弱
gagj 下落不明
gagk 刑事
gago 开来
gagq 开列
gagr 青黄不接
gags 一草一木
gagv 正式开始
gah 武
gahb 琊
gahd 武
gahf 武警战士
gahg 鹉
gahh 形式上
gahk 开战
gahv 开眼
gaic 武汉
gaid 开源
gaif 刑法
gaig 弄清
gaii 开水
gaip 开学
gaj 弄
gaje 开明
gajf 型
gajh 刑
gajj 武昌
gak 开
gakg 型号
gakg 瑾
gakh 开路
gakk 武器
galg 开车
galq 开罗
galt 武力
galw 开办
galy 刑罚
gam 瑛
gamd 瑛
gamm 开山
gamp 开工典礼
gamw 璜
gana 开展
ganf 开导
gang 开怀
gank 开辟
gann 开局
gant 开发
gany 开心
gaog 开业
gaon 武断
gaoo 开火
gaoq 开炮
gapb 不切实际
gapf 开赛
gapn 武官
gapp 不甘寂寞
gapr 不惑之年
gapw 形容
gaqa 弄错
gaqh 开外
gaqi 开销
gaqj 形象
gaqm 武钢
gaqn 开馆
gaqs 形式多样
gaqy 开镰
gard 开拓
garn 开掘
garp 开挖
gars 武打
gart 开播
garv 形势
garw 豆蔻年华
gasc 弄权
gasf 开票
gasm 开机
gasw 开枪
gasy 武术
gatb 天花乱坠
gatd 一落千丈
gate 开盘
gatv 刑律
gaty 开往
gaub 武警部队
gaud 形状
gauf 武装
gaui 开阔
gaum 开端
gaut 开颜
gauy 开门
gavc 开始
gave 开垦
gavn 开刀
gaw 珙
gawb 开创
gawf 开会
gawg 一切从严
gawn 形似
gaws 形体
gawu 五花八门
gawy 珙
gaxj 开花结果
gaxp 下世纪初
gaxt 开张
gayj 开课
gaym 开设
gayn 开启
gayo 形迹
gayq 一劳永逸
gayt 开放
gayu 与其说
gayv 开朗
gayx 开工率
gayy 形式主义
gb 屯
gbbb 一阵子
gbbp 不了了之
gbdg 顿感
gbdl 事出有因
gbg 珥
gbgu 不耻下问
gbjf 顿时
gbkg 顿号
gbmq 互联网
gbn 屯
gbnm 顿
gbnt 严阵以待
gbnv 屯
gbqd 顿然
gbqe 不了解
gbro 不出所料
gbta 副院长
gbwd 现阶段
gc 到
gcad 到期
gcaq 致敬
gcbi 致函
gcbn 到了
gcda 不欢而散
gcdc 一通百通
gcdf 互通有无
gcdp 到达
gcf 至
gcfb 郅
gcff 至
gcfh 不予考虑
gcfj 到
gcfn 到场
gcft 致
gcft 臻
gcg 玛
gcgf 至于
gcgg 不能平静
gcgi 不能不
gcgk 不骄不躁
gcgo 到来
gcgq 致死
gcgv 玛瑙
gchh 至上
gchx 至此
gcit 至少
gcjf 到时
gcjn 致电
gclt 致力
gcmu 不能同意
gcnr 互通情报
gcpe 到家
gcpg 致富
gcpv 不能容忍
gcqq 至多
gcra 下马看花
gcrb 不难看出
gcrt 到手
gcsq 不难想象
gctd 致辞
gcth 到处
gctr 不能自拔
gcud 死对头
gcuj 致意
gcuk 致癌
gcwf 到会
gcwg 致使
gcwn 不通人情
gcwt 到任
gcwu 到位
gcwx 到货
gcwy 至今
gcyn 致词
gcyq 到底
gcyt 致谢
gd 天
gdad 青春期
gdaf 更有甚者
gdao 不厌其烦
gday 更确切地说
gdbb 一辈子
gdbf 天际
gdbk 天职
gdbw 天险
gdcc 蚕桑
gdck 天台
gdct 正确对待
gddn 一百万
gde 瑚
gdeg 瑚
gdfa 亚太地区
gdfb 天地
gdfe 来龙去脉
gdff 天坛
gdfh 天真
gdft 天才
gdfy 天壤
gdga 不顾一切
gdgd 天天
gdgf 天有不测风云
gdgh 天下
gdgj 天理
gdgk 两码事
gdgl 不三不四
gdgo 吞灭
gdgq 表面现象
gdgu 天平
gdgy 一成不变
gdhg 不在此列
gdhh 天上
gdhi 形而上学
gdi 天
gdid 天涯
gdii 天水
gdil 青春活力
gdim 吞没
gdio 不在少数
gdip 天堂
gdir 两面派
gdis 天河
gdiv 天津
gdiy 五大洲
gdj 蚕
gdje 王码电脑
gdjf 天时
gdjh 一大早
gdjn 王码电脑公司
gdju 蚕
gdk 吞
gdkf 吞吐
gdkt 吞噬
gdkx 正确路线
gdlg 天国
gdlp 天边
gdlr 天堑
gdlu 正确轨道
gdm 顼
gdmg 天赋
gdmm 天山
gdmq 麦克风
gdmy 顼
gdn 忝
gdnt 天性
gdnu 忝
gdpk 副研究员
gdpo 天灾
gdpw 天空
gdqc 天色
gdqd 天然
gdrf 严厉打击
gdrn 天气
gdrx 一大批
gdry 严厉批评
gds 琦
gdsc 不大可能
gdsk 琦
gdsm 天机
gdsq 下大本钱
gdst 天桥
gdta 天长
gdtd 天敌
gdtg 天生
gdth 更大程度上
gdto 死灰复燃
gdtr 天鹅
gdtu 不在乎
gdua 吞并
gduf 一大半
gdun 王码商密技术公司
gduq 天资
gduy 更有意义
gdwg 天使
gdwk 现有人口
gdwm 天仙
gdwn 正确领导
gdwo 现有企业
gdws 天体
gdwx 不成体统
gdwy 事在人为
gdx 珑
gdxg 天线
gdxn 正确引导
gdxw 不成比例
gdxx 蚕丝
gdya 表达方式
gdyg 不在话下
gdyp 天亮
gdyt 正确方向
gdyv 天良
gdyw 天府
gdyy 天文
ge 表
geaa 青工
geaj 青草
gecm 静观
gecq 不受欢迎
gede 互助友爱
gedf 不胫而走
gedm 表面
gedp 表达
gedw 青春
gedy 静态
geey 静脉
gef 青
gefc 瑗
gefi 表示
gefk 表露
gegd 青天
gegm 表现
gegt 更胜一筹
geh 甫
gehc 表皮
gehg 青睐
gehh 静止
gehp 逋
geht 敷
gehy 甫
geip 表演
geit 青海
geiw 不胜举
geje 表明
gejn 静电
gekr 静听
gelf 静默
gelg 开脱罪责
gelw 不服输
gem 靓
gemm 青山
gemq 靓
genf 表层
geng 表情
geny 青翠
gepc 瑷
geph 靛
geq 静
geqh 静
geqj 表象
geqy 青岛
ger 瑶
gerh 青年
germ 瑶
gern 表扬
gerr 表白
gesb 一脉相承
gesi 不胜枚举
gest 表格
gesw 青松
gesy 表述
geta 副县长
geti 敷衍
getj 青稞
geu 表
geud 静养
geuj 表彰
geun 表决
gewf 两用人才
gewh 静候
geww 静坐
gexx 五彩缤纷
gey 琢
geyg 表语
geym 敷设
geys 琢磨
geyt 瑶族
geyu 不用说
geyx 表率
geyy 琢
gf 于
gfag 五十七
gfaj 烈士墓
gfan 球艺
gfaq 不求甚解
gfau 平均工资
gfbl 烈士陵园
gfbt 环境卫生
gfbw 球队
gfc 珐
gfcy 珐
gfdg 五十三
gfdm 玩耍
gfdn 五十万
gfdw 平均寿命
gfdy 表示感谢
gfey 现场采访
gffa 天真无邪
gfff 不走过场
gffg 五十二
gffh 青云直上
gffn 球场
gffq 不动声色
gffr 现场直播
gfft 事过境迁
gffu 天南地北
gffy 平均增长速度
gfga 球形
gfgf 一动不动
gfgg 五十五
gfgh 更进一步
gfgk 一声不响
gfgq 一朝一夕
gfgr 来者不拒
gfgu 不干不净
gfgw 平起平坐
gfhf 不求上进
gfhh 五十步笑百步
gfhw 玩具
gfi 球
gfig 死去活来
gfii 天真活泼
gfip 玩赏
gfiu 表示满意
gfiy 球
gfjg 于是
gfjj 平均日产量
gfjt 一无是处
gfk 于
gfkh 下坡路
gfkm 球员
gfl 盂
gflf 盂
gflh 五十四
gflk 迂回
gflw 现场办公
gfmj 不规则
gfmu 表示同意
gfn 玮
gfnh 玮
gfnt 平均收入
gfnu 表示慰问
gfny 平均发展速度
gfoi 天真烂漫
gfop 球迷
gfov 平均数
gfp 迂
gfpf 球赛
gfpf 柬埔寨
gfpk 天壤之别
gfpl 表示祝贺
gfq 玩
gfqc 一专多能
gfqf 开场锣鼓
gfqn 玩
gfqq 来去匆匆
gfra 一无所获
gfrd 一无所有
gfre 副教授
gfrh 平均年龄
gfri 平均气温
gfrr 开场白
gfrs 平均指标
gfrt 一无所知
gfru 理直气壮
gfrx 与去年相比
gftb 平均每年下降
gftd 死规矩
gftj 不远千里
gftk 政协委员
gftm 来去自由
gftt 玩笑
gfud 球状
gfug 不无道理
gfut 不动产
gfuw 责无旁贷
gfuy 球门
gfvt 五十九
gfwf 现场会
gfwg 一声令下
gfwk 环城公路
gfwr 一鼓作气
gfws 平均分配
gfwt 五十八
gfwu 环境优美
gfww 政协全国委员会
gfwx 一元化
gfwy 现场会议
gfxk 天无绝人之路
gfyc 再教育
gfyp 画地为牢
gfys 不堪设想
gfyy 平均主义
gg 五
ggab 环节
ggad 一项
ggag 五七
ggan 一世
ggap 顿开茅塞
ggau 五一劳动奖章
